snapshot_ts,parent_event_id,fomc_decision_date,market_type,is_sparse_ctf,days_to_next_fomc,expected_bps,p_no_change,margin_over_second,n_brackets,modal_prob,modal_outcome_bps,modal_direction,distance_from_uniform,reit_index_open,reit_index_high,reit_index_low,reit_index_close,reit_index_fwd_10d_return,sora_level_realized,sora_fwd_10d_level,sora_fwd_10d_change,sora_fwd_10d_abs_change,sora_level_t2,sora_90d_change_t2,sora_3m_t2,sora_term_spread_t2
2022-07-28,901490,2022-09-21,FPMM,False,55,50.000624,0.0,,4,0.961912,50.0,hike,0.711912,1302.1692,1309.1788,1295.6613,1308.0345,0.001615,2.0407,1.7601,-0.2806,0.2806,1.6908,134.35,1.198,-0.4928
2022-07-29,901490,2022-09-21,FPMM,False,54,58.075912,0.0,0.499606,4,0.734031,50.0,hike,0.484031,1310.868,1315.2209,1307.6693,1314.9243,0.000754,2.1354,1.925,-0.2104,0.2104,1.5258,117.85,1.211,-0.3148
2022-08-01,901490,2022-09-21,FPMM,False,51,56.597636,0.0,0.320473,4,0.732741,50.0,hike,0.482741,1308.671,1319.3728,1307.3508,1315.826,-0.001772,1.7515,1.9116,0.1601,0.1601,2.0407,169.34,1.2295,-0.8112
2022-08-02,901490,2022-09-21,FPMM,False,50,56.314474,0.0,0.297399,4,0.681556,50.0,hike,0.431556,1311.4496,1314.1234,1300.5717,1307.0618,0.002401,1.6888,1.9236,0.2348,0.2348,2.1354,177.68,1.2712,-0.8642
2022-08-03,901490,2022-09-21,FPMM,False,49,56.359654,0.0,0.318117,4,0.659061,50.0,hike,0.409061,1305.0533,1311.9142,1302.1489,1307.2728,0.004542,1.372,1.9402,0.5682,0.5682,1.7515,107.51,1.283,-0.4685
2022-08-04,901490,2022-09-21,FPMM,False,48,56.87732,0.0,0.340364,4,0.71159,50.0,hike,0.46159,1309.7734,1322.4769,1307.5175,1318.11,-0.008063,1.3522,2.24,0.8878,0.8878,1.6888,121.54,1.294,-0.3948
2022-08-05,901490,2022-09-21,FPMM,False,47,57.778622,0.0,0.349986,4,0.71159,50.0,hike,0.46159,1315.5896,1316.3752,1308.951,1310.002,-0.010141,1.8269,2.2324,0.4055,0.4055,1.372,89.86,1.3016,-0.0704
2022-08-08,901490,2022-09-21,FPMM,False,44,64.23622,0.0,0.039892,4,0.54265,75.0,hike,0.29265,1312.0782,1312.4806,1302.2748,1309.281,-0.021769,1.7915,2.0993,0.3078,0.3078,1.3522,29.86,1.3112,-0.041
2022-08-10,901490,2022-09-21,FPMM,False,42,64.761255,0.0,0.217589,4,0.603022,75.0,hike,0.353022,1307.1787,1314.1667,1300.067,1305.5009,-0.025477,1.4935,2.0684,0.5749,0.5749,1.8269,107.54,1.3388,-0.4881
2022-08-11,901490,2022-09-21,FPMM,False,41,58.555189,0.0,0.174482,4,0.637047,50.0,hike,0.387047,1308.3649,1320.6733,1307.6327,1316.9063,-0.033749,1.7252,1.8673,0.1421,0.1421,1.7915,92.41,1.3571,-0.4344
